SaleId,Category,Product,Qty,Sale
IN0001,Water bottles,Bottle1,,6000.0
IN0002,Jeans,Jeans6,4.0,4416.0
IN0003,Smart Phone,Phone1,1.0,723.0
IN0004,Jeans,Jeans5,20.0,21480.0
IN0005,Jeans,Jeans6,,10875.0
IN0006,Perfumes,Perfume3,1.0,932.0
IN0007,Shoes,Shoes3,5.0,4220.0
IN0008,Tshirts,Tshirt1,13.0,11271.0
IN0009,Shoes,Shoes5,9.0,8730.0
IN0010,Perfumes,Perfume1,13.0,13845.0
IN0011,Shoes,Shoes6,,7637.0
IN0012,Water bottles,Bottle1,2.0,1592.0
IN0013,Tshirts,Tshirt2,,11760.0
IN0014,Water bottles,Bottle3,,6041.0
IN0015,Water bottles,Bottle3,3.0,3138.0
IN0016,Water bottles,Bottle2,,7992.0
IN0017,Water bottles,Bottle6,18.0,14976.0
IN0018,Tshirts,Tshirt2,,8190.0
IN0019,Tshirts,Tshirt2,,11472.0
IN0020,Smart Phone,Phone6,15.0,11565.0
IN0021,Jeans,Jeans2,,15372.0
IN0022,Perfumes,Perfume4,12.0,7692.0
IN0023,Perfumes,Perfume4,3.0,1836.0
IN0024,Jeans,Jeans6,,3330.0
IN0025,Smart Phone,Phone4,,9369.0
IN0026,Perfumes,Perfume1,,12716.0
IN0027,Tshirts,Tshirt3,14.0,13496.0
IN0028,Tshirts,Tshirt6,9.0,9171.0
IN0029,Tshirts,Tshirt6,10.0,6560.0
IN0030,Shoes,Shoes2,18.0,20034.0
IN0031,Shoes,Shoes4,1.0,871.0
IN0032,Shoes,Shoes2,2.0,2160.0
IN0033,Tshirts,Tshirt1,16.0,16720.0
IN0034,Jeans,Jeans2,16.0,12336.0
IN0035,Perfumes,Perfume5,14.0,14728.0
IN0036,Water bottles,Bottle6,,10896.0
IN0037,Smart Phone,Phone5,15.0,11295.0
IN0038,Jeans,Jeans1,11.0,12122.0
IN0039,Perfumes,Perfume2,19.0,9633.0
IN0040,Tshirts,Tshirt6,2.0,1138.0
IN0041,Tshirts,Tshirt3,3.0,2355.0
IN0042,Water bottles,Bottle4,7.0,7588.0
IN0043,Perfumes,Perfume4,,6412.0
IN0044,Tshirts,Tshirt1,,13062.0
IN0045,Smart Phone,Phone6,2.0,1124.0
IN0046,Smart Phone,Phone6,11.0,8294.0
IN0047,Jeans,Jeans2,,9002.0
IN0048,Jeans,Jeans3,15.0,8655.0
IN0049,Smart Phone,Phone5,4.0,4668.0
